Gene,Avg_TPM_Without_Neo,Avg_TPM_With_Neo,Ratio_Without_With,Log2_Ratio,
GNAT3,29.24827586,0.3,0.010257015,-6.607245131,-1.988979016
WDR72,9.309677419,0.1,0.010741511,-6.54065914,-1.968934633
GRHL2,17.85757576,0.2,0.011199728,-6.480392303,-1.950792506
RPS6KA2,17.03823529,0.2,0.011738305,-6.412631986,-1.930394616
CREB3L1,8.505882353,0.1,0.01175657,-6.410388873,-1.929719372
ARHGAP20,8.451428571,0.1,0.011832319,-6.401123198,-1.926930125
CLDN1,33.4,0.4,0.011976048,-6.383704172,-1.921686475
FAIM2,8.303030303,0.1,0.012043796,-6.375565939,-1.919236623
BARHL1,8.273333333,0.1,0.012087027,-6.370396685,-1.917680522
DGKI,8.24516129,0.1,0.012128326,-6.365475692,-1.916199156
NDST4,7.763333333,0.1,0.012881065,-6.278604217,-1.890048234
EHD2,23.24444444,0.3,0.01290631,-6.275779522,-1.889197916
TFCP2L1,30.71714286,0.4,0.013022044,-6.26290011,-1.885320826
FAM83E,7.611428571,0.1,0.013138138,-6.250095241,-1.881466176
TFAP2B,15.20526316,0.2,0.01315334,-6.248426866,-1.880963945
PCDH7,7.58125,0.1,0.013190437,-6.244363726,-1.879740818
PASD1,7.557894737,0.1,0.013231198,-6.239912412,-1.878400839
GC,15.1,0.2,0.013245033,-6.23840463,-1.877946952
NEUROD1,150.7125,2,0.013270299,-6.235655159,-1.877119278
COL18A1,7.52,0.1,0.013297872,-6.232660648,-1.876217841
WFDC2,67.38333333,0.9,0.013356419,-6.226322878,-1.874309982
CNTN4,7.296774194,0.1,0.013704686,-6.189186799,-1.863130907
INHBA,7.185714286,0.1,0.013916501,-6.167059564,-1.856469945
PPP2R2B,7.15,0.1,0.013986014,-6.159871234,-1.854306042
RELN,42.81142857,0.6,0.014014949,-6.156889564,-1.85340847
SLC18A3,7.1,0.1,0.014084507,-6.149747017,-1.851258349
SRGN,35.21111111,0.5,0.014200063,-6.137958746,-1.847709725
GRIA1,10.55416667,0.15,0.014212396,-6.136706259,-1.847332689
TNC,28.05277778,0.4,0.014258838,-6.131999722,-1.84591588
MPP7,7,0.1,0.014285714,-6.129282916,-1.84509804
COL15A1,6.920833333,0.1,0.014449127,-6.112873758,-1.840158391
BDKRB2,6.896666667,0.1,0.014499758,-6.107827235,-1.838639236
MSN,195.7555556,3,0.015325236,-6.027946847,-1.814592841
KIAA1217,6.457142857,0.1,0.015486726,-6.012823947,-1.810040395
BIN1,19.16388889,0.3,0.015654443,-5.997283951,-1.805362389
ST6GAL1,31.88823529,0.5,0.015679764,-5.994952263,-1.804660482
RPH3A,6.272222222,0.1,0.015943313,-5.970904679,-1.797421437
ENOX1,18.79705882,0.3,0.015959944,-5.96940054,-1.796968646
DCDC1,6.093939394,0.1,0.016409746,-5.929303159,-1.784898131
C12orf56,6.025,0.1,0.01659751,-5.91288925,-1.779957051
SHANK1,5.988,0.1,0.016700067,-5.90400223,-1.777281792
CA9,11.909375,0.2,0.016793493,-5.895953807,-1.774858975
IQSEC1,17.83333333,0.3,0.01682243,-5.893469994,-1.774111273
AFF2,5.925925926,0.1,0.016875,-5.888968602,-1.772756219
OLFML1,5.89375,0.1,0.016967126,-5.881113876,-1.77039171
ABLIM3,5.881818182,0.1,0.017001546,-5.878190199,-1.769511596
NPC1L1,5.754285714,0.1,0.017378352,-5.846564868,-1.759991422
CCNB3,5.708823529,0.1,0.017516744,-5.835121479,-1.756546618
AXL,34.14722222,0.6,0.017570975,-5.830661831,-1.75520413
ADCY8,5.676923077,0.1,0.017615176,-5.827037206,-1.75411301
SPAG6,5.666666667,0.1,0.017647059,-5.824428354,-1.753327667
PREX2,5.656521739,0.1,0.017678709,-5.821843209,-1.752549461
MEF2C,5.567741935,0.1,0.017960603,-5.799020359,-1.745679098
IL20RA,5.480769231,0.1,0.018245614,-5.776306407,-1.738841516
NGFR,16.30571429,0.3,0.018398458,-5.764271252,-1.735218574
CHI3L1,16.24193548,0.3,0.018470705,-5.758617174,-1.733516526
GGT6,5.41,0.1,0.018484288,-5.757556611,-1.733197265
SYCP2L,5.302777778,0.1,0.018858041,-5.72867631,-1.724503428
TSHR,5.281818182,0.1,0.018932874,-5.722962659,-1.722783447
MAGEC2,52.78857143,1,0.018943494,-5.722153643,-1.722539909
CLVS2,10.43928571,0.2,0.019158399,-5.705879117,-1.717640788
ZNF727,5.176,0.1,0.019319938,-5.693765638,-1.713994268
RTL1,12.9,0.25,0.019379845,-5.689299086,-1.712649702
CTSL,45.10833333,0.9,0.019951967,-5.647325098,-1.700014272
NOS1,5.00952381,0.1,0.019961977,-5.646601495,-1.699796445
CPA3,4.984615385,0.1,0.020061728,-5.639410213,-1.697631654
AMOTL2,44.675,0.9,0.020145495,-5.633398846,-1.695822052
CNGB1,4.880769231,0.1,0.020488574,-5.609036566,-1.688488274
TRAPPC3L,4.866666667,0.1,0.020547945,-5.604861988,-1.687231601
CLIC6,9.696,0.2,0.020627063,-5.599317724,-1.685562611
BTBD17,46.95,1,0.021299255,-5.553053185,-1.671635597
LRRC43,4.681818182,0.1,0.021359223,-5.548996936,-1.670414544
TWIST1,18.27575758,0.4,0.021886918,-5.513787335,-1.659815397
KCNA4,9.029411765,0.2,0.022149837,-5.496560034,-1.654629463
FAAH,26.98611111,0.6,0.022233659,-5.491110713,-1.652989054
S100A4,44.52222222,1,0.022460694,-5.476453634,-1.648576833
ARMCX2,39.46111111,0.9,0.022807265,-5.454362704,-1.6419268
EN1,4.342857143,0.1,0.023026316,-5.440572529,-1.637775544
AREG,4.297058824,0.1,0.023271732,-5.42527756,-1.633171299
TMEM132E,10.3962963,0.25,0.024047025,-5.377997692,-1.61893864
C1orf127,8.203125,0.2,0.024380952,-5.358101648,-1.612949334
DOCK5,8.145714286,0.2,0.024552788,-5.347969248,-1.609899177
AHNAK,40.55277778,1,0.024659223,-5.341728776,-1.608020608
NT5E,10.08857143,0.25,0.024780515,-5.334649936,-1.605889665
TSHZ3,4.015789474,0.1,0.024901704,-5.327611676,-1.603770937
TBX18,7.980769231,0.2,0.025060241,-5.318455846,-1.601014757
STEAP2,3.913793103,0.1,0.025550661,-5.290495531,-1.592597864
GPRC5A,15.61666667,0.4,0.025613661,-5.286942681,-1.591528349
TRIM55,3.855555556,0.1,0.025936599,-5.268866796,-1.586086965
LANCL3,3.827586207,0.1,0.026126126,-5.258362911,-1.582924981
USH1C,7.646428571,0.2,0.026156002,-5.256714103,-1.58242864
OSMR,12.47058824,0.333333333,0.02672956,-5.22542006,-1.573008194
PTGDR,3.74,0.1,0.026737968,-5.224966311,-1.572871602
SLITRK2,3.736363636,0.1,0.02676399,-5.223562912,-1.572449137
SLC6A20,3.714814815,0.1,0.026919242,-5.215218335,-1.569937169
NEDD9,3.697058824,0.1,0.027048528,-5.20830604,-1.567856361
GPM6A,32.73103448,0.9,0.027496839,-5.184590336,-1.560717222
PTPRT,12.11,0.333333333,0.027525461,-5.183089408,-1.560265398
IGFBP3,72.01666667,2,0.027771349,-5.170258868,-1.55640302
KCNQ1,10.74516129,0.3,0.027919544,-5.162580776,-1.554091684
SIAH3,3.54,0.1,0.028248588,-5.145677405,-1.549003262
KLHL3,3.527777778,0.1,0.028346457,-5.14068773,-1.54750122
SULF2,17.33888889,0.5,0.028836911,-5.115939496,-1.540051259
IP6K3,3.464516129,0.1,0.02886406,-5.114581918,-1.539642588
IRAK3,6.82,0.2,0.029325513,-5.091699785,-1.532754379
CYP7B1,6.661290323,0.2,0.030024213,-5.057729708,-1.522528367
SP5,3.281818182,0.1,0.030470914,-5.036423361,-1.516114517
FERMT1,13.12647059,0.4,0.030472776,-5.036335203,-1.516087979
ACVR1C,6.517647059,0.2,0.030685921,-5.026279278,-1.513060843
AKAP6,6.469444444,0.2,0.030914556,-5.015569876,-1.509836992
OTOP3,3.23125,0.1,0.030947776,-5.014020424,-1.509370561
ASIC2,3.22,0.1,0.031055901,-5.008988737,-1.507855872
CCND1,32.2,1,0.031055901,-5.008988737,-1.507855872
ARSI,3.183333333,0.1,0.031413613,-4.992466282,-1.502882117
PLIN3,25.41666667,0.8,0.03147541,-4.989630981,-1.502028606
CHAT,3.142105263,0.1,0.031825796,-4.973659563,-1.49722073
ZNF844,9.317647059,0.3,0.03219697,-4.956931233,-1.492185001
PTGER3,3.1,0.1,0.032258065,-4.954196266,-1.491361694
LYPD6B,3.1,0.1,0.032258065,-4.954196266,-1.491361694
SERPINA1,3.093103448,0.1,0.032329989,-4.950983136,-1.490394445
FBXL7,12.21333333,0.4,0.032751092,-4.932313149,-1.484774219
SYNGR4,15.12647059,0.5,0.033054637,-4.919003459,-1.480767603
KRT20,11.86,0.4,0.033726813,-4.889960157,-1.472024698
OSTN,2.964705882,0.1,0.033730159,-4.88981704,-1.471981615
GDF15,29.49722222,1,0.033901497,-4.882507153,-1.46978112
CELF5,11.73030303,0.4,0.034099716,-4.874096431,-1.46724924
MAP3K8,2.920588235,0.1,0.034239678,-4.868187025,-1.465470332
METTL11B,2.882758621,0.1,0.034688995,-4.849378096,-1.45980828
ANKRD34C,2.87,0.1,0.034843206,-4.842978791,-1.457881897
OIT3,2.855172414,0.1,0.035024155,-4.835505922,-1.455632339
ZIM2,2.85,0.1,0.035087719,-4.832889974,-1.45484486
SLIT3,2.847826087,0.1,0.035114504,-4.8317891,-1.454513464
UGT1A1,5.642857143,0.2,0.035443038,-4.818353881,-1.45046906
HS6ST2,11.18529412,0.4,0.035761241,-4.805459342,-1.446587417
KCNJ3,26.99310345,0.966666667,0.035811616,-4.803428511,-1.445976076
IRS4,2.772727273,0.1,0.036065574,-4.793233774,-1.442907154
MAN1C1,11.05277778,0.4,0.036189997,-4.788265143,-1.441411447
PRKCG,5.5,0.2,0.036363636,-4.781359674,-1.439332694
MEP1B,5.470588235,0.2,0.03655914,-4.773624026,-1.437004032
CELF4,27.11666667,1,0.036877689,-4.761107901,-1.433236303
STOX2,8.1,0.3,0.037037037,-4.754887463,-1.431363764
IL32,2.696296296,0.1,0.037087912,-4.7529071,-1.430767615
ABCC9,2.666666667,0.1,0.0375,-4.736965556,-1.425968732
CD207,2.627586207,0.1,0.038057743,-4.715666155,-1.419556974
NKAIN4,2.619230769,0.1,0.038179148,-4.711071233,-1.418173764
KCNV1,2.595,0.1,0.038535645,-4.697662597,-1.414137362
COL4A2,7.768965517,0.3,0.03861518,-4.694688065,-1.413241939
PREX1,25.87714286,1,0.038644143,-4.693606393,-1.412916323
CDH10,7.712903226,0.3,0.038895859,-4.684239567,-1.410096628
THEG,2.568965517,0.1,0.038926174,-4.683115584,-1.409758275
DPP6,15.27368421,0.6,0.039283253,-4.669941753,-1.405792557
ALB,4.968965517,0.2,0.040249827,-4.634873589,-1.395235987
SP100,2.45,0.1,0.040816327,-4.614709809,-1.389166085
KLF15,4.829411765,0.2,0.041412911,-4.593775536,-1.38286424
GK2,2.4125,0.1,0.041450777,-4.592457003,-1.382467322
ANKRD29,2.411538462,0.1,0.041467305,-4.59188188,-1.382294193
EFS,48.16470588,2,0.041524182,-4.589904416,-1.381698917
GPR50,2.38,0.1,0.042016807,-4.572889635,-1.376576957
CA2,3.544,0.15,0.042325056,-4.562344164,-1.373402454
WNT11,14.13714286,0.6,0.04244139,-4.558384233,-1.372210396
SAMD3,2.3375,0.1,0.042780749,-4.546894427,-1.36875162
EPB41L2,13.975,0.6,0.04293381,-4.541741939,-1.367200566
MMD2,2.311538462,0.1,0.043261231,-4.53078143,-1.363901124
FA2H,6.86969697,0.3,0.043670049,-4.517212023,-1.359816326
C1QTNF6,4.505555556,0.2,0.044389642,-4.493633071,-1.352718354
OR51E2,44.80833333,2,0.044634555,-4.485695128,-1.350328795
KIF12,13.35925926,0.6,0.04491267,-4.476733673,-1.347631128
DOCK8,2.204166667,0.1,0.04536862,-4.46216138,-1.343244431
CES1,2.164,0.1,0.046210721,-4.435628563,-1.335257257
MCC,12.97222222,0.6,0.046252677,-4.434319301,-1.334863129
SLC5A5,2.147826087,0.1,0.046558704,-4.424805245,-1.331999113
GPR87,4.278571429,0.2,0.046744574,-4.41905724,-1.330268791
PCDHGB7,5.328571429,0.25,0.04691689,-4.413748773,-1.328670783
TMEM176A,42.55294118,2,0.047000276,-4.411186916,-1.327899587
RASGRF1,2.123076923,0.1,0.047101449,-4.408084709,-1.32696573
RNF152,8.271875,0.4,0.04835663,-4.37014245,-1.315543972
ANKRD30B,4.083333333,0.2,0.048979592,-4.351675409,-1.309984838
SCARA3,10.16206897,0.5,0.049202579,-4.345122226,-1.308012134
KISS1R,8.082352941,0.4,0.049490539,-4.336703419,-1.30547782
CD163L1,3.984615385,0.2,0.05019305,-4.316368541,-1.299356412
SRMS,1.961764706,0.1,0.050974513,-4.294080082,-1.292646917
DDR1,58.75,3,0.05106383,-4.291554418,-1.291886616
EPS8L1,3.9,0.2,0.051282051,-4.285402191,-1.290034611
PCSK1,175.9823529,9.05,0.051425611,-4.281369136,-1.288820541
THRB,5.653125,0.3,0.053067993,-4.236014165,-1.275167334
FHIT,1.883333333,0.1,0.053097345,-4.235216435,-1.274927193
HOXD9,37.66666667,2,0.053097345,-4.235216435,-1.274927193
COL5A2,93.39444444,5,0.053536375,-4.223336707,-1.271351039
MEGF6,7.411428571,0.4,0.053970702,-4.211679721,-1.267841936
CDH4,11.07777778,0.6,0.054162487,-4.206562166,-1.266301399
TMPRSS11E,1.835714286,0.1,0.054474708,-4.198269601,-1.263805088
FSTL5,5.45,0.3,0.055045872,-4.183221798,-1.259275248
GRIK1,5.430555556,0.3,0.055242967,-4.178065364,-1.257723006
DDR2,14.46285714,0.8,0.055314105,-4.176208749,-1.25716411
CTSS,7.2,0.4,0.055555556,-4.169924976,-1.255272505
SLC35F1,7.087878788,0.4,0.056434374,-4.147282002,-1.248456291
SLC30A8,1.764705882,0.1,0.056666667,-4.141355825,-1.246672334
GUCY2D,1.74375,0.1,0.05734767,-4.124121287,-1.241484221
PGM5,3.476666667,0.2,0.057526366,-4.119632822,-1.240133058
RGS7,14.73870968,0.85,0.057671263,-4.116003551,-1.239040539
EPDR1,34.49714286,2,0.057975816,-4.108404949,-1.236753132
SLC2A12,10.33823529,0.6,0.058036984,-4.106883607,-1.236295162
PPBP,1.72,0.1,0.058139535,-4.104336636,-1.235528447
EMP2,33.94411765,2,0.058920371,-4.085089654,-1.229734528
PLK2,33.81388889,2,0.059147293,-4.079544019,-1.228065126
CASZ1,13.51388889,0.8,0.059198356,-4.078299064,-1.227690357
FTCDNL1,1.683333333,0.1,0.059405941,-4.073248959,-1.226170124
MLPH,6.707142857,0.4,0.059637913,-4.067626402,-1.224477565
UNC5C,1.670833333,0.1,0.059850374,-4.062495902,-1.222933131
MAOB,9.928,0.6,0.060435133,-4.048468686,-1.218710518
TUSC3,97.12777778,6,0.061774295,-4.016849525,-1.209192202
SLITRK1,6.471428571,0.4,0.061810155,-4.016012295,-1.208940171
SP140L,6.447058824,0.4,0.062043796,-4.010569219,-1.207301642
DPP4,3.208571429,0.2,0.062333036,-4.003859173,-1.205281716
ALDH1A2,3.193103448,0.2,0.062634989,-3.996887366,-1.203182993
SLC35F4,6.385294118,0.4,0.062643943,-3.996681147,-1.203120915
EPB41L4A,3.141666667,0.2,0.063660477,-3.97345819,-1.196130109
TRPC3,1.547826087,0.1,0.064606742,-3.952171454,-1.189722162
TMEFF1,3.077777778,0.2,0.064981949,-3.943817143,-1.187207264
TRPM3,1.537931034,0.1,0.065022421,-3.942918884,-1.186936861
ST6GAL2,14.52666667,0.95,0.065396971,-3.93463235,-1.184442366
TDRD5,3.035714286,0.2,0.065882353,-3.923964088,-1.181230899
FBXO27,10.61714286,0.7,0.065931109,-3.922896826,-1.180909621
ZEB2,3.01875,0.2,0.066252588,-3.915879358,-1.178797153
WT1,1.5,0.1,0.066666667,-3.906890575,-1.176091259
CNTN3,4.461538462,0.3,0.067241379,-3.89450685,-1.172363387
FRK,4.457142857,0.3,0.067307692,-3.893084775,-1.171935299
TNFSF8,5.933333333,0.4,0.06741573,-3.890770909,-1.171238756
CARD6,2.468181818,0.166666667,0.06752609,-3.888411154,-1.170528399
DUSP13,1.478947368,0.1,0.067615658,-3.886498786,-1.169952719
PLA2R1,1.476470588,0.1,0.067729084,-3.884080692,-1.1692248
PCDHA4,1.475,0.1,0.06779661,-3.882643029,-1.168792021
FN1,87.93055556,6,0.068235666,-3.873330157,-1.165988567
COL4A5,13.18285714,0.9,0.068270481,-3.872594249,-1.165767036
ROBO3,6.590322581,0.45,0.068281938,-3.872352156,-1.165694159
GPR4,1.46,0.1,0.068493151,-3.867896444,-1.164352856
LIPH,1.457575758,0.1,0.068607069,-3.865498944,-1.163631137
NTNG2,7.244117647,0.5,0.069021518,-3.856809956,-1.161015491
NAALADL2,1.441666667,0.1,0.069364162,-3.849665707,-1.158864857
PCDHB10,5.765714286,0.4,0.069375619,-3.849427422,-1.158793126
THBS1,14.41111111,1,0.069390902,-3.849109647,-1.158697467
SUSD2,8.594444444,0.6,0.06981254,-3.840369959,-1.156066558
DECR1,28.56666667,2,0.070011669,-3.836260778,-1.154829572
PTH1R,1.424,0.1,0.070224719,-3.831877222,-1.15350999
KIF26B,7.097222222,0.5,0.070450098,-3.827254459,-1.152118399
CCDC144A,1.411111111,0.1,0.070866142,-3.818759666,-1.149561212
SEZ6L,71.13030303,5.05,0.070996464,-3.816108996,-1.148763281
DUSP26,55.88611111,4,0.071574134,-3.804417862,-1.145243899
SPARCL1,13.85277778,1,0.072187688,-3.792103371,-1.141536867
BACE2,11.07714286,0.8,0.072220789,-3.791441983,-1.14133777
REPS2,6.908571429,0.5,0.072373863,-3.788387398,-1.140418248
JUP,96.58333333,7,0.072476273,-3.786347408,-1.13980415
RORB,13.79,1,0.072516316,-3.785550532,-1.139564266
PCDHGA3,1.371875,0.1,0.072892938,-3.778077111,-1.137314542
PLXNA4,2.048,0.15,0.073242187,-3.771181291,-1.135238693
CXCL6,1.359090909,0.1,0.073578595,-3.764570037,-1.133248508
ZCCHC24,6.791666667,0.5,0.073619632,-3.763765634,-1.133006358
FAM114A1,14.91142857,1.1,0.073768921,-3.760843032,-1.132126567
FAT2,5.391428571,0.4,0.074191839,-3.752595671,-1.129643865
ZFPM2,9.426923077,0.7,0.074255406,-3.751360109,-1.129271923
CD109,8.745714286,0.65,0.074322117,-3.750064575,-1.128881929
TMEM63C,26.71714286,2,0.074858304,-3.739693809,-1.125760017
HOXA11,6.651612903,0.5,0.075169738,-3.733704193,-1.123956963
BBX,26.58333333,2,0.07523511,-3.732450094,-1.123579441
ANPEP,2.655882353,0.2,0.07530454,-3.731119318,-1.123178838
NOTCH1,13.27647059,1,0.075321223,-3.730799748,-1.123082638
SMAD6,7.952777778,0.6,0.075445337,-3.728424434,-1.122367597
TMEM200B,3.928571429,0.3,0.076363636,-3.710970367,-1.117113399
CNGA4,6.546666667,0.5,0.076374745,-3.710760505,-1.117050224
FZD9,13.72571429,1.05,0.076498751,-3.708419977,-1.116345655
KCNJ9,1.306666667,0.1,0.076530612,-3.707819231,-1.116164813
RTN4RL2,13.04166667,1,0.076677316,-3.705056328,-1.115333096
ERBB4,5.214285714,0.4,0.076712329,-3.704397713,-1.115134833
MST1R,6.484848485,0.5,0.077102804,-3.697072849,-1.112929829
CLEC18B,5.135714286,0.4,0.077885953,-3.68249302,-1.108540863
GBP2,2.565714286,0.2,0.077951002,-3.6812886,-1.108178297
LRRC34,8.977777778,0.7,0.077970297,-3.680931541,-1.108070811
LIPG,3.817647059,0.3,0.078582434,-3.669649308,-1.104674521
GALR1,1.269565217,0.1,0.078767123,-3.666262586,-1.103655016
AQP1,3.788888889,0.3,0.079178886,-3.658740409,-1.101390615
SORCS1,2.52,0.2,0.079365079,-3.655351811,-1.100370545
GRIK2,12.54,1,0.079744817,-3.648465425,-1.098297537
GPC5,1.234375,0.1,0.081012658,-3.625708826,-1.091447118
PRDM6,1.846666667,0.15,0.081227437,-3.621889053,-1.090297251
DCHS2,3.682352941,0.3,0.081469649,-3.617593488,-1.089004157
PLCB2,7.32,0.6,0.081967213,-3.608809225,-1.086359831
PKHD1,1.208333333,0.1,0.082758621,-3.594946573,-1.082186757
SOX9,47.87222222,4,0.083555762,-3.581116855,-1.078023597
CPED1,1.790625,0.15,0.083769633,-3.577428812,-1.076913385
C22orf42,1.191666667,0.1,0.083916084,-3.57490882,-1.076154792
WWTR1,7.144444444,0.6,0.083981337,-3.573787408,-1.075817213
COL28A1,1.188888889,0.1,0.084112149,-3.571541969,-1.075141269
SLC12A1,1.188,0.1,0.084175084,-3.570462915,-1.074816441
SLC52A3,1.185714286,0.1,0.084337349,-3.567684493,-1.073980053
QRICH2,7.080555556,0.6,0.084739113,-3.560828139,-1.071916084
DYRK1B,35.38888889,3,0.08477237,-3.560262043,-1.071745673
MAMDC2,9.369444444,0.8,0.085383931,-3.549891585,-1.068623853
CNTN2,5.838709677,0.5,0.085635359,-3.54564956,-1.067346877
PSTPIP2,4.08,0.35,0.085784314,-3.543142309,-1.066592119
THSD7A,11.56875,1,0.086439762,-3.532161068,-1.063286436
PRSS22,1.148275862,0.1,0.087087087,-3.521397357,-1.060046236
NID2,9.180555556,0.8,0.087140696,-3.520509539,-1.059778976
PDE4B,5.726470588,0.5,0.087313816,-3.517646216,-1.05891703
PRKG1,1.145,0.1,0.087336244,-3.517275678,-1.058805487
SPAG17,1.142424242,0.1,0.087533156,-3.514026579,-1.057827411
RXRA,11.41944444,1,0.087569934,-3.513420544,-1.057644976
SLC27A2,22.67777778,2,0.088192063,-3.503207354,-1.0545705
SPDEF,1.126470588,0.1,0.088772846,-3.493737726,-1.051719857
FBLN2,4.490625,0.4,0.089074461,-3.488844331,-1.050246799
MICALL2,8.961111111,0.8,0.089274644,-3.485605706,-1.049271875
ITGA9,10.00285714,0.9,0.089974293,-3.474343312,-1.045881557
NCAM2,17.46538462,1.575,0.090178375,-3.471074664,-1.044897596
BDKRB1,4.409090909,0.4,0.090721649,-3.462409303,-1.042289062
B3GAT2,5.502777778,0.5,0.0908632,-3.460160053,-1.041611971
TECTA,3.277142857,0.3,0.091543156,-3.449404143,-1.038374119
SLC44A4,1.091666667,0.1,0.091603053,-3.448460486,-1.03809005
NRK,4.335714286,0.4,0.092257002,-3.438197769,-1.035000664
FAM90A1,1.596428571,0.15,0.093959731,-3.411813584,-1.027058233
PIEZO1,21.05277778,2,0.09499934,-3.39593868,-1.022279411
CCL5,1.04375,0.1,0.095808383,-3.383704279,-1.018596489
CBR3,10.3,1,0.097087379,-3.364572418,-1.012837225
CSPG4,2.744117647,0.266666667,0.097177563,-3.363232916,-1.012433995
CYP4F3,10.27333333,1,0.09733939,-3.360832441,-1.01171138
PCDHGA6,2.052777778,0.2,0.097428958,-3.359505539,-1.011311942
PIK3C2G,1.023529412,0.1,0.097701149,-3.355480641,-1.010100327
ADAMTS8,2.046666667,0.2,0.09771987,-3.355204236,-1.010017121
TMC2,1.018181818,0.1,0.098214286,-3.34792329,-1.007825338
DPYSL4,40.63529412,4,0.098436595,-3.344661417,-1.006843416
CYP27C1,2.03030303,0.2,0.098507463,-3.343623152,-1.006530867
TBX20,2.984615385,0.3,0.100515464,-3.314510609,-0.997767119
LRRC15,19.84285714,2,0.100791937,-3.310547853,-0.99657421
ADAMTS4,1.967741935,0.2,0.101639344,-3.298469109,-0.992938146
SYTL2,9.808571429,1,0.101951646,-3.294043016,-0.991605759
SLC5A1,1.943333333,0.2,0.102915952,-3.280461464,-0.987517305
KLHL30,0.968181818,0.1,0.103286385,-3.275277989,-0.985956923
SERPINB8,4.783333333,0.5,0.104529617,-3.258016318,-0.980760642
