Gene,Avg_TPM_Without_Neo,Avg_TPM_With_Neo,Ratio_Without_With,Log2_Ratio,
PCSK2,83.48823529,0.1,0.001197774,-9.705427901,-2.921625281
SYT4,150.5,0.2,0.001328904,-9.555546686,-2.876506504
PEG3,71.24444444,0.1,0.001403618,-9.476632681,-2.852751004
LUM,52.86896552,0.1,0.001891469,-9.046276525,-2.723200813
CGA,44.59545455,0.1,0.002242381,-8.800752215,-2.649290595
ACTC1,44.07777778,0.1,0.002268717,-8.783907045,-2.644219691
BCAT1,40.77142857,0.1,0.002452698,-8.671414109,-2.610355929
FAM83H,38.89166667,0.1,0.002571245,-8.60331669,-2.589856555
EBF3,35.19677419,0.1,0.002841169,-8.459298893,-2.546502862
NEUROD4,35.18846154,0.1,0.002841841,-8.458958122,-2.54640028
UTRN,30.58333333,0.1,0.003269755,-8.256601406,-2.485484818
NLRP2,29.20833333,0.1,0.00342368,-8.190235807,-2.465506776
MYADM,28.32222222,0.1,0.003530796,-8.145790248,-2.452127326
ASCL1,841.4083333,3,0.003565451,-8.131699391,-2.447885554
IGSF21,26.95333333,0.1,0.003710116,-8.074319504,-2.430612482
SLFN11,40.09393939,0.15,0.003741214,-8.062277479,-2.426987471
EPHA3,24.16538462,0.1,0.004138151,-7.916797798,-2.383193712
ZFP42,23.89375,0.1,0.004185195,-7.90048914,-2.378284315
COL17A1,23.05277778,0.1,0.004337872,-7.848796458,-2.362723264
IRX2,43.97666667,0.2,0.004547866,-7.780594128,-2.342192312
SMARCA2,20.26944444,0.1,0.004933534,-7.663162445,-2.306841846
HTRA1,39.06111111,0.2,0.005120182,-7.609588896,-2.290714597
KCNQ2,18.90689655,0.1,0.005289075,-7.56276849,-2.276620248
AKR1C2,35.98055556,0.2,0.005558558,-7.491073393,-2.255037869
EYA1,17.9030303,0.1,0.005585647,-7.484059733,-2.252926547
COL14A1,17.35,0.1,0.005763689,-7.438791602,-2.239299479
OR51E1,17.02631579,0.1,0.005873261,-7.411622238,-2.231120684
TCERG1L,16.70689655,0.1,0.005985552,-7.384299714,-2.222895784
ADAMTS14,16.65833333,0.1,0.006003002,-7.380100016,-2.221631548
GLYATL3,16.2037037,0.1,0.006171429,-7.340179566,-2.209614293
MAGEB2,31.35862069,0.2,0.006377832,-7.292718067,-2.195326956
SSX3,15.15882353,0.1,0.006596818,-7.244013762,-2.180665497
HES6,447.2777778,3,0.006707241,-7.220064556,-2.173456067
IMPG2,29.703125,0.2,0.006733298,-7.214470697,-2.171772147
NAT8L,29.36666667,0.2,0.006810443,-7.198035496,-2.166824658
TNS3,14.65277778,0.1,0.006824645,-7.195030166,-2.165919963
VIP,14.42,0.1,0.006934813,-7.171927146,-2.15896526
TAP1,13.51388889,0.1,0.007399794,-7.078298893,-2.130780344
KCNK16,26.46666667,0.2,0.007556675,-7.048032506,-2.121669252
XK,12.88823529,0.1,0.007759014,-7.009910742,-2.110193456
CDH12,19.02,0.15,0.007886435,-6.986410752,-2.103119254
SLC45A3,12.63888889,0.1,0.007912088,-6.981725646,-2.101708896
DLGAP3,24.82352941,0.2,0.008056872,-6.955564263,-2.093833534
CCKBR,12.27333333,0.1,0.008147746,-6.939383139,-2.088962529
GRM8,11.74411765,0.1,0.008514901,-6.875794346,-2.069820393
TMEM64,23.39444444,0.2,0.008549038,-6.87002199,-2.068082741
LGR6,11.578125,0.1,0.008636977,-6.85525766,-2.063638234
NID1,34.66111111,0.3,0.008655233,-6.852211425,-2.062721226
MDFIC,11.50555556,0.1,0.008691453,-6.846186671,-2.060907594
TSPAN18,11.05714286,0.1,0.009043928,-6.788834675,-2.043642921
NNMT,11.04375,0.1,0.009054895,-6.787086165,-2.043116567
KLHDC7A,10.94444444,0.1,0.009137056,-6.774054755,-2.039193721
VSTM2B,20.756,0.2,0.009635768,-6.697384481,-2.016113666
THSD7B,10.21153846,0.1,0.009792844,-6.67405628,-2.009091177
FAAH2,19.79428571,0.2,0.010103926,-6.628940055,-1.995509839
PRRG4,9.891176471,0.1,0.010110021,-6.62807008,-1.99524795
LATS2,9.821212121,0.1,0.010182043,-6.617829044,-1.992165091
