Gene,Avg_TPM_Without_Neo,Avg_TPM_With_Neo,Ratio_Without_With,Log2_Ratio,,
EPHA1,3.022580645,2,0.661686232,-0.595780831,-0.179347902,
CDO1,15.0037037,10,0.666502098,-0.585318676,-0.176198479,
PODNL1,0.897058824,0.6,0.668852458,-0.58024009,-0.174669672,
PDIA5,30.74285714,21,0.683085502,-0.549861921,-0.165524932,
NCOR2,62.34285714,43,0.689734189,-0.535887613,-0.161318246,
SMAD9,82.62857143,57,0.689834025,-0.535678804,-0.161255389,
ADAR,191.0285714,132,0.690996111,-0.533250501,-0.160524397,
ANO3,1.430769231,1,0.698924731,-0.516790997,-0.155569592,
ZNF250,14.11428571,10,0.708502024,-0.497156118,-0.149658905,
KLHL22,28.05714286,20,0.712830957,-0.488368101,-0.147013448,
LAMA1,5.591666667,4,0.715350223,-0.483278359,-0.145481283,
HDLBP,159.3142857,114,0.715566714,-0.482841813,-0.145349869,
NAA25,34.6,25,0.722543353,-0.468843941,-0.14113609,
NLRC5,2.760606061,2,0.724478595,-0.464985028,-0.139974442,
CYP2A7,0.135714286,0.1,0.7368421,-0.4405726,-0.132625568,
NSUN6,19,14,0.736842105,-0.44057259,-0.132625565,
PLEKHG2,37.74285714,28,0.741862226,-0.43077681,-0.129676742,
PIK3C2B,22.55428571,17,0.753737015,-0.407866849,-0.122780156,
THADA,13.25714286,10,0.754310345,-0.406769881,-0.122449936,
ARHGAP5,34,26,0.764705882,-0.387023121,-0.116505569,
AQR,25.47058824,19.5,0.765588915,-0.385358153,-0.116004364,
ZFYVE26,12.97142857,10,0.77092511,-0.375337374,-0.112987809,
LRRC8A,55.71428571,43,0.771794872,-0.373710635,-0.112498111,
TNRC18,38.97142857,32,0.821114369,-0.28434491,-0.085596348,
ALG3,54.48571429,45,0.825904562,-0.275953013,-0.083070135,
TPRN,21.25714286,18,0.846774194,-0.239950791,-0.072232386,
EPOR,25.86571429,22,0.85054678,-0.233537507,-0.070301795,
PMAIP1,152.7142857,133,0.87090739,-0.199408779,-0.060028024,
C11orf68,47,41,0.872340426,-0.197036845,-0.059314001,
COIL,54.34285714,48,0.883280757,-0.179056012,-0.053901231,
LECT2,1.121428571,1,0.891719744,-0.165337732,-0.049771617,
DHX16,77.54285714,71,0.915622697,-0.127174867,-0.03828345,
RBAK,23.77142857,22,0.925480769,-0.111725081,-0.033632601,
RBBP8,107.8857143,100,0.92690678,-0.109503841,-0.032963941,
JAM3,109.9142857,103,0.937093839,-0.093734569,-0.028216917,
UBR4,67.77142857,64,0.944350759,-0.082605276,-0.024866666,
RAC1,300.8571429,285,0.947293447,-0.078116688,-0.023515467,
OR6T1,0.211111111,0.2,0.947368417,-0.078002517,-0.023481098,
UQCC2,47.34285714,45,0.950512975,-0.073221772,-0.02204195,
TAF2,60.28571429,58,0.962085308,-0.05576327,-0.016786417,
ABHD3,39.37142857,38,0.965166909,-0.051149641,-0.015397577,
ENPP1,7.057142857,7,0.991902834,-0.011729291,-0.003530869,
SELP,0.1,0.1,0.99999999,-1.30E-08,-4.34294E-09,
MCM3AP,56.62857143,57,1.006559031,0.009431785,0.00283925,
TAX1BP1,60.31428571,62,1.027948839,0.039768465,0.011971501,
CEACAM6,9.597058824,10,1.041985902,0.05933576,0.017861843,
CSNK2B,24.77142857,26,1.049596309,0.069834553,0.021022295,
PPA2,37.97142857,40,1.053423627,0.075085724,0.022603055,
VPS13B,18.97142857,20,1.054216867,0.076171682,0.022929961,
CACNA1B,20.70588235,22.05,1.064914773,0.090737975,0.027314852,
GRM3,0.655882353,0.7,1.067264572,0.093917863,0.028272093,
MAPK12,19.48571429,21,1.07771261,0.107972512,0.032502964,
UNC5D,1.825,2,1.09589041,0.132103537,0.039767127,
CAMSAP1,71.11428571,79,1.110887907,0.151713251,0.045670239,
KIF21A,40.91428571,48,1.173184358,0.230429742,0.069366264,
ZNF536,8.473684211,10,1.180124223,0.238938731,0.071927725,
GTF2H3,49.77142857,59,1.185419059,0.245397159,0.073871905,
PAK2,125.5428571,149,1.186845699,0.247132384,0.07439426,
CCKAR,2.509090909,3,1.195652173,0.257797758,0.077604858,
MAPK13,49.6,62,1.25,0.321928096,0.096910013,
UNKL,14.8,19,1.283783784,0.360402244,0.108491886,
PCLO,18.57142857,24,1.292307692,0.369949611,0.111365929,
ZNF208,0.773684211,1,1.292517005,0.370183263,0.111436266,
PATL1,84.85714286,110,1.296296296,0.374395516,0.11270428,
GATA6,3.056666667,4,1.308615049,0.388040768,0.11681191,
GON4L,28.91428571,38,1.314229249,0.394216957,0.118671128,
NBPF1,12.05714286,16,1.327014218,0.408183829,0.122875576,
CYFIP1,40.58571429,54,1.330517423,0.411987404,0.124020566,
UBA6,38.05714286,52,1.366366366,0.450344369,0.135567163,
ADCY2,4.379166667,6,1.370123691,0.454306143,0.136759776,
CYP7A1,0.145454545,0.2,1.374999991,0.45943161,0.138302695,
GYS1,41.54285714,58,1.396148556,0.481452459,0.144931631,
ZAP70,0.354545455,0.5,1.410256406,0.495957492,0.149298081,
TMED5,31.45714286,45,1.430517711,0.516537361,0.155493239,
SFT2D1,27.11428571,39,1.438356164,0.52442096,0.157866439,
ATP8B4,0.68125,1,1.467889906,0.553743769,0.166693484,
ASB16,8.8,13,1.477272727,0.562936195,0.16946068,
ZSWIM2,0.666666667,1,1.499999998,0.5849625,0.176091258,
COQ3,43,66,1.534883721,0.618129366,0.18607548,
NLRP7,0.128571429,0.2,1.555555543,0.63742991,0.191885523,
CACNA2D4,0.629032258,1,1.589743587,0.66879409,0.201327082,
ITPK1,37.88571429,61,1.610105581,0.687155295,0.206854355,
MOCOS,3.68,6,1.630434782,0.705256735,0.212303432,
ZNF398,21.37142857,35,1.637700535,0.711671575,0.214234491,
RETSAT,27.97142857,46,1.64453524,0.717679924,0.216043184,
DOCK1,18.59117647,31,1.667457681,0.737650148,0.222054821,
APAF1,24.34285714,41,1.6842723,0.752125402,0.226412306,
FCGBP,2.342424242,4,1.7076326,0.771997611,0.232394437,
SDHC,27.54285714,49,1.779045643,0.831103526,0.25018709,
WSCD2,2.719047619,5,1.838879159,0.878826677,0.264553191,
TSPEAR,8.193548387,16,1.952755905,0.965511624,0.29064796,
