Study ID	Patient ID	Sample ID	Age	Annotation Source	Cancer Type	Cancer Type Detailed	Cell Line Source	Characteristics	DepMap ID	Disease Ontology	Doubling Time (hrs)	Doubling Time From Vendor	Ethnicity Category	Fraction Genome Altered	Freezing Medium	Genome Doublings	Geographic Distribution	Growth Medium	Hist Subtype 1	Hist Subtype 2	Hist Subtype 3	Histology	Life Stage	Lineage	Lineage Molecular Subtype	Lineage Sub-subtype	Lineage Subtype	Mutation Count	Mutation Rate	Name	Oncotree Code	Pathologist Annotation	Ploidy	Primary Tumor Site	Proteomics 10-Plex ID	Proteomics TMT label	Purity	Race Category	Number of Samples Per Patient	Sample Type	Sex	Site of Finding	Site Subtype 1	Site Subtype 2	Site Subtype 3	Subtype	Supplements	Tumor Break Load	TMB (nonsynonymous)	Tumor Type	Type Refined
ccle_broad_2019	NCIH1522	NCIH1522	NA	NA	Small Cell Lung Cancer	Small Cell Lung Cancer	NA	NA	ACH-001592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lung	NA	NA	SCLC	NA	NA	NA	SCLC	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Small Cell Lung Cancer (SCLC)	NA	NA	NA	NA	NA
ccle_broad_2019	NCIH1618_LUNG	NCIH1618_LUNG	55	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ATCC	NA	ACH-000179	NA	NA	NA	Caucasian	0.4894	5%DMSO	1	NA	DMEM:HAM's F12  1:1  +5% FBS	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	218	99.00667914	NCI-H1618	SCLC	Lung:SCLC	3.1	Lung	NA	NA	0.99	Caucasian	1	Metastasis	Female	bone_marrow	NS	NS	NS	Small Cell Lung Cancer (SCLC)	.005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine	53	7.43333333333	lung_small_cell	lung_small_cell
ccle_broad_2019	NCIH1688_LUNG	NCIH1688_LUNG	NA	NA	Small Cell Lung Cancer	Small Cell Lung Cancer	NA	NA	ACH-002170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lung	NA	NA	SCLC	502	NA	NA	SCLC	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Small Cell Lung Cancer (SCLC)	NA	NA	16.8	NA	lung_small_cell
ccle_broad_2019	NCIH1694_LUNG	NCIH1694_LUNG	61	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ATCC	suspension line; lots of debris	ACH-000431	NA	81.2	NA	Caucasian	0.6697	5% DMSO	1	NA	DMEM:F12 (1:1) + 5% FBS	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	364	109.534987	NCI-H1694	SCLC	Lung:SCLC	2.47	Lung	NA	NA	0.99	Caucasian	1	Metastasis	Male	ascites	NS	NS	NS	Small Cell Lung Cancer (SCLC)	.005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine	219	12.3333333333	lung_small_cell	lung_small_cell
ccle_broad_2019	NCIH1836_LUNG	NCIH1836_LUNG	52	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ATCC	Mixed Line	ACH-000559	NA	183.9	NA	Caucasian	0.4777	5%DMSO	1	NA	DMEM:HAM's F12  1:1 + 5 % FBS	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	508	NA	NCI-H1836	SCLC	Lung:SCLC	3.07	Lung	NA	NA	0.99	Caucasian	1	Primary	Male	NA	NS	NS	NS	Small Cell Lung Cancer (SCLC)	.005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine	140	17.3333333333	lung_small_cell	lung_small_cell
ccle_broad_2019	NCIH187_LUNG	NCIH187_LUNG	NA	NA	Small Cell Lung Cancer	Small Cell Lung Cancer	NA	NA	ACH-001136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lung	NA	NA	SCLC	678	NA	NA	SCLC	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Small Cell Lung Cancer (SCLC)	NA	NA	22.5666666667	NA	lung_small_cell
ccle_broad_2019	NCIH1876_LUNG	NCIH1876_LUNG	59	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ATCC	Adherent epithelial	ACH-000586	NA	72.5	NA	Caucasian	0.8455	5%DMSO	1	NA	DMEM:HAM's F12  1:1  +10% FBS	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	498	136.0086473	NCI-H1876	SCLC	Lung:SCLC	2.59	Lung	NA	NA	1	Caucasian	1	Metastasis	Male	lymph_node	NS	NS	NS	Small Cell Lung Cancer (SCLC)	5ug/ml insulin, 10ug/ml transferrin, 3.0x10^-8 M Na Selenite (added 5ml Insulin-Transferrin-Selenium); 1.0x10^-8 M Hydrocortisone, 1.0x10^-8 beta estradiol, 2mM L-glutamine, 10mM HEPES	76	16.7	lung_small_cell	lung_small_cell
ccle_broad_2019	NCIH1930_LUNG	NCIH1930_LUNG	41	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ATCC	Mixed line, majority in suspension	ACH-000870	NA	NA	NA	Caucasian	0.5462	5%DMSO	1	NA	RPMI 1640 +10% FBS	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	916	237.0403961	NCI-H1930	SCLC	Lung:SCLC	3.08	Lung	NA	NA	1	Caucasian	1	Metastasis	Male	lymph_node	NS	NS	NS	Small Cell Lung Cancer (SCLC)	NA	81	30.7	lung_small_cell	lung_small_cell
ccle_broad_2019	NCIH196_LUNG	NCIH196_LUNG	68	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ATCC	Adherent	ACH-000752	NA	75.3	NA	Caucasian	0.5833	5% DMSO	1	NA	RPMI+10%FBS	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	487	168.9440631	NCI-H196	SCLC	Lung:SCLC	2.42	Lung	19	129n	1	Caucasian	1	Metastasis	Male	pleura	NS	NS	NS	Small Cell Lung Cancer (SCLC)	NA	108	16.1666666667	lung_small_cell	lung_small_cell
ccle_broad_2019	NCIH1963_LUNG	NCIH1963_LUNG	56	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ATCC	Suspension	ACH-000729	NA	NA	NA	African_american	0.2944	5% DMSO	0	NA	RPMI-1640+10%FBS	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	385	157.897507	NCI-H1963	SCLC	Lung:SCLC	2.05	Lung	NA	NA	1	African_American	1	Primary	Male	NA	NS	NS	NS	Small Cell Lung Cancer (SCLC)	NA	127	13.1666666667	lung_small_cell	lung_small_cell
