Study ID	Patient ID	Sample ID	Age	Annotation Source	Cancer Type	Cancer Type Detailed	Cell Line Source	Characteristics	DepMap ID	Disease Ontology	Doubling Time (hrs)	Doubling Time From Vendor	Ethnicity Category	Fraction Genome Altered	Freezing Medium	Genome Doublings	Geographic Distribution	Growth Medium	Hist Subtype 1	Hist Subtype 2	Hist Subtype 3	Histology	Life Stage	Lineage	Lineage Molecular Subtype	Lineage Sub-subtype	Lineage Subtype	Mutation Count	Mutation Rate	Name	Oncotree Code	Pathologist Annotation	Ploidy	Primary Tumor Site	Proteomics 10-Plex ID	Proteomics TMT label	Purity	Race Category	Number of Samples Per Patient	Sample Type	Sex	Site of Finding	Site Subtype 1	Site Subtype 2	Site Subtype 3	Subtype	Supplements	Tumor Break Load	TMB (nonsynonymous)	Tumor Type	Type Refined
ccle_broad_2019	GLC82_LUNG	GLC82_LUNG	58	CCLE	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	ICLC	Epithelial monolayer	ACH-001071	NA	NA	48 hrs	African_american	0.6904	5% DMSO	NA	chinese	DMEM+10% FBS	adenocarcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_adenocarcinoma	NSCLC	NA	NA	GLC-82	LUAD	NA	NA	Lung	NA	NA	NA	Asian	1	Primary	Female	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	2mM L-glutamine	NA	NA	lung_NSC	lung_NSC
ccle_broad_2019	HARA_LUNG	HARA_LUNG	57	CCLE	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	HSRRB	ADHERENT; fast grower	ACH-000843	Lung Cancer	63.7	NA	Asian	0.6587	5% DMSO	1	NA	RPMI-1640+10% FBS	squamous_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_squamous	NSCLC	835	233.5534525	HARA	LUSC	Lung:NSCLC_Squamous	2.95	Lung	NA	NA	1	Asian	1	Metastasis	Male	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	NA	222	28.2333333333	lung_NSC	lung_NSC
ccle_broad_2019	HCC1171_LUNG	HCC1171_LUNG	58	CCLE	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	KCLB	epithelial; monolayer	ACH-000578	lung_cancer	NA	NA	Caucasian	0.7577	NA	1	NA	RPMI 1640  with L-glutamine (300mg/L), 90%; heat inactivated fetal bovine serum (FBS),10%	non_small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_adenocarcinoma	NSCLC	254	125.157705	HCC-1171	LUAD	Lung:NSCLC_Others	2.55	Lung	NA	NA	1	Caucasian	1	Primary	Male	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	25mM Hepes and 25mM NaHCo3	NA	8.36666666667	lung_NSC	lung_NSC
ccle_broad_2019	HCC1195_LUNG	HCC1195_LUNG	47	CCLE	Non-Small Cell Lung Cancer	Lung Adenosquamous Carcinoma	KCLB	epithelial; monolayer	ACH-000868	lung_cancer	NA	NA	African_american	0.6659	NA	1	NA	RPMI 1640  with L-glutamine (300mg/L), 90%; heat inactivated fetal bovine serum (FBS),10%	mixed_adenosquamous_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_adenosquamous	NSCLC	327	254.5878645	HCC-1195	LUAS	Lung:NSCLC_Adeno	2.21	Lung	NA	NA	1	African_American	1	Primary	Male	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Adenosquamous Carcinoma	25mM Hepes and 25mM NaHCo3	NA	10.9	lung_NSC	lung_NSC
ccle_broad_2019	HCC1359_LUNG	HCC1359_LUNG	55	CCLE	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	KCLB	ADHERENT, EPITHELIAL MONOLAYER	ACH-000901	lung_cancer	42.1	NA	African_american	0.4487	5%DMSO	1	NA	RPMI-1640+10% FBS	large_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_large_cell	NSCLC	455	273.6119221	HCC-1359	LCLC	Lung:NSCLC_Large_Cell	3.36	Lung	NA	NA	0.98	African_American	1	Primary	Female	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	NA	NA	15.2333333333	lung_NSC	lung_NSC
ccle_broad_2019	HCC1438_LUNG	HCC1438_LUNG	43	CCLE	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	KCLB	epithelial; monolayer	ACH-000891	NA	NA	NA	African_american	NA	NA	NA	NA	RPMI 1640  with L-glutamine (300mg/L), 90%; heat inactivated fetal bovine serum (FBS),10%	large_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_large_cell	NSCLC	641	270.8323858	HCC-1438	LCLC	Lung:NSCLC_Large_Cell	NA	Lung	NA	NA	NA	NA	1	Primary	Male	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	25mM Hepes and 25mM NaHCo3	NA	21.4333333333	lung_NSC	lung_NSC
ccle_broad_2019	HCC15_LUNG	HCC15_LUNG	47	CCLE	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	DSMZ	mixed; dt= 72-96 hrs	ACH-000878	lung_cancer	51.7	NA	African_american	0.8167	5% DMSO	0	NA	RPMI-1640 + 10%FBS	squamous_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_squamous	NSCLC	810	264.6207321	HCC-15	LUSC	Lung:NSCLC_Squamous	1.73	Lung	28	130n	0.99	African_American	1	Primary	Male	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	NA	187	27.6	lung_NSC	lung_NSC
ccle_broad_2019	HCC1588_LUNG	HCC1588_LUNG	63	CCLE	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	KCLB	epithelial; monolayer	ACH-001078	NA	NA	NA	Caucasian	NA	NA	NA	NA	RPMI 1640  with L-glutamine (300mg/L), 90%; heat inactivated fetal bovine serum (FBS),10%	squamous_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_squamous	NSCLC	158	147.6715363	HCC-1588	LUSC	Colorectal:Carcinoma	NA	Lung	NA	NA	NA	NA	1	Primary	Female	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	25mM Hepes and 25mM NaHCo3	NA	5.26666666667	lung_NSC	lung_NSC
ccle_broad_2019	HCC1833_LUNG	HCC1833_LUNG	69	CCLE	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	KCLB	epithelial; monolayer	ACH-000712	lung_cancer	NA	NA	African_american	NA	NA	NA	NA	RPMI 1640  with L-glutamine (300mg/L), 90%; heat inactivated fetal bovine serum (FBS),10%	adenocarcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_adenocarcinoma	NSCLC	371	159.9833699	HCC-1833	LUAD	Lung:NSCLC_Adeno	NA	Lung	40	127n	NA	Caucasian	1	Primary	Female	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	25mM Hepes and 25mM NaHCo3	69	12.5333333333	lung_NSC	lung_NSC
ccle_broad_2019	HCC1897_LUNG	HCC1897_LUNG	NA	ACHILLES	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	NA	NA	ACH-001079	NA	NA	NA	NA	0.9177	NA	0	NA	NA	squamous_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_squamous	NSCLC	NA	NA	HCC-1897	LUSC	NA	1.77	Lung	NA	NA	1	NA	1	NA	NA	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	NA	NA	NA	lung_NSC	lung_NSC
